Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Requests/s,Total Min Response Time,Total Max Response Time,Total Average Content Size
1668634391,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1668634392,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1668634393,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1668634394,1,GET,/0/3.14159,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,2065.1060999999995,2065.1060999999995,2065.1060999999995,2065.1060999999995,114.0
1668634394,1,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,1,0,2065.1060999999995,2065.1060999999995,2065.1060999999995,2065.1060999999995,114.0
1668634395,1,GET,/0/3.14159,0.000000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2,0,1300.0,1666.0119499999996,1266.9178,2065.1060999999995,114.0
1668634395,1,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2,0,1300.0,1666.0119499999996,1266.9178,2065.1060999999995,114.0
1668634396,1,GET,/0/3.14159,0.333333,0.000000,1500,1500,2100,2100,2100,2100,2100,2100,2100,2100,2100,3,0,1500.0,1614.9036333333331,1266.9178,2065.1060999999995,114.0
1668634396,1,,Aggregated,0.333333,0.000000,1500,1500,2100,2100,2100,2100,2100,2100,2100,2100,2100,3,0,1500.0,1614.9036333333331,1266.9178,2065.1060999999995,114.0
1668634397,1,GET,/0/3.14159,0.333333,0.000000,1500,1500,2100,2100,2100,2100,2100,2100,2100,2100,2100,3,0,1500.0,1614.9036333333331,1266.9178,2065.1060999999995,114.0
1668634397,1,,Aggregated,0.333333,0.000000,1500,1500,2100,2100,2100,2100,2100,2100,2100,2100,2100,3,0,1500.0,1614.9036333333331,1266.9178,2065.1060999999995,114.0
1668634398,1,GET,/0/3.14159,0.250000,0.000000,1500,1500,2100,2100,2100,2100,2100,2100,2100,2100,2100,4,0,1300.0,1541.0974499999998,1266.9178,2065.1060999999995,114.0
1668634398,1,,Aggregated,0.250000,0.000000,1500,1500,2100,2100,2100,2100,2100,2100,2100,2100,2100,4,0,1300.0,1541.0974499999998,1266.9178,2065.1060999999995,114.0
1668634399,1,GET,/0/3.14159,0.500000,0.000000,1300,1500,1500,2100,2100,2100,2100,2100,2100,2100,2100,5,0,1300.0,1465.7783,1164.5017000000007,2065.1060999999995,114.0
1668634399,1,,Aggregated,0.500000,0.000000,1300,1500,1500,2100,2100,2100,2100,2100,2100,2100,2100,5,0,1300.0,1465.7783,1164.5017000000007,2065.1060999999995,114.0
1668634400,1,GET,/0/3.14159,0.571429,0.000000,1500,1500,1500,1500,2100,2100,2100,2100,2100,2100,2100,6,0,1300.0,1470.2666833333333,1164.5017000000007,2065.1060999999995,114.0
1668634400,1,,Aggregated,0.571429,0.000000,1500,1500,1500,1500,2100,2100,2100,2100,2100,2100,2100,6,0,1300.0,1470.2666833333333,1164.5017000000007,2065.1060999999995,114.0
1668634401,1,GET,/0/3.14159,0.571429,0.000000,1500,1500,1500,1500,2100,2100,2100,2100,2100,2100,2100,6,0,1300.0,1470.2666833333333,1164.5017000000007,2065.1060999999995,114.0
1668634401,1,,Aggregated,0.571429,0.000000,1500,1500,1500,1500,2100,2100,2100,2100,2100,2100,2100,6,0,1300.0,1470.2666833333333,1164.5017000000007,2065.1060999999995,114.0
1668634402,1,GET,/0/3.14159,0.500000,0.000000,1300,1500,1500,1500,2100,2100,2100,2100,2100,2100,2100,7,0,1300.0,1450.6948428571427,1164.5017000000007,2065.1060999999995,114.0
1668634402,1,,Aggregated,0.500000,0.000000,1300,1500,1500,1500,2100,2100,2100,2100,2100,2100,2100,7,0,1300.0,1450.6948428571427,1164.5017000000007,2065.1060999999995,114.0
1668634403,1,GET,/0/3.14159,0.600000,0.000000,1500,1500,1500,1500,2100,2100,2100,2100,2100,2100,2100,8,0,1300.0,1462.6949124999996,1164.5017000000007,2065.1060999999995,114.0
1668634403,1,,Aggregated,0.600000,0.000000,1300,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8,0,1300.0,1462.6949124999996,1164.5017000000007,2065.1060999999995,114.0
1668634404,1,GET,/0/3.14159,0.700000,0.000000,1300,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,9,0,1300.0,1446.5483666666664,1164.5017000000007,2065.1060999999995,114.0
1668634404,1,,Aggregated,0.700000,0.000000,1300,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,9,0,1300.0,1446.5483666666664,1164.5017000000007,2065.1060999999995,114.0
1668634405,1,GET,/0/3.14159,0.700000,0.000000,1300,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,9,0,1300.0,1446.5483666666664,1164.5017000000007,2065.1060999999995,114.0
1668634405,1,,Aggregated,0.700000,0.000000,1300,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,9,0,1300.0,1446.5483666666664,1164.5017000000007,2065.1060999999995,114.0
